LONGITUD;LATITUD;CALLE;TIPO;SUPERFICIE;FECHA;TAMANIO
-58.420327985226400;-34.581411136975600;SANTA FE Y PZA ITALIA;HORMIGON;615;23/03/2007;VADO SIMPLE
-58.420631010161600;-34.580947940026700;SARMIENTO Y PZA ITALIA;HORMIGON;480;23/03/2007;VADO SIMPLE
-58.42160497379390;-34.580969141295600;THAMES Y PZA ITALIA;HORMIGON;686;23/03/2007;VADO SIMPLE
-58.420660900347400;-34.581720119926200;BORGES, JORGE LUIS Y PZA ITALIA;HORMIGON;810;23/03/2007;VADO SIMPLE
-58.410917884345300;-34.581865364866700;SCALABRINI ORTIZ;HORMIGON;2938;27/06/2007;VADO DOBLE
-58.438191401664600;-34.588764858470500;JUSTO JUAN B;HORMIGON;414;09/05/2008;VADO SIMPLE
-58.421729754153700;-34.580858617918500;CALZADA CIRCULAR (PLAZOLETA);HORMIGON;716;11/06/2008;VADO SIMPLE
-58.459949327668800;-34.575196776939600;PZA PADILLA;HORMIGON;349;10/07/2008;VADO SIMPLE
-58.460081904315900;-34.575396171083400;PZA PADILLA;HORMIGON;540;10/07/2008;VADO SIMPLE
-58.459954796528800;-34.575494051255100;PZA PADILLA;HORMIGON;619;10/07/2008;VADO SIMPLE
-58.4148759541036;-34.578300629218100;REPUBLICA DE LA INDIA;HORMIGON;360;10/12/2008;VADO SIMPLE
-58.476307038296900;-34.549822499639400;GARCIA DEL RIO;HORMIGON;1501;22/11/2006;VADO DOBLE
-58.476182541184000;-34.550026438844800;GARCIA DEL RIO;HORMIGON;1711;22/11/2006;VADO DOBLE
-58.475341901215400;-34.549627264310000;GARCIA DEL RIO;HORMIGON;1731;22/11/2006;VADO DOBLE
-58.475240751738600;-34.549833346725400;GARCIA DEL RIO;HORMIGON;1243;22/11/2006;VADO DOBLE
-58.473017379761300;-34.549395651442700;BOULEVARD GARCIA DEL RIO Y VIDAL;HORMIGON;2134;15/01/2007;VADO DOBLE
-58.459624763951400;-34.544557117679100;LARRALDE CRISOLOGO;HORMIGON PREMOLD;250;04/05/2007;VADO SIMPLE
-58.459495800918300;-34.544659114130900;LARRALDE CRISOLOGO;HORMIGON PREMOLD;250;04/05/2007;VADO SIMPLE
-58.468737677380800;-34.539040898519400;GRECIA;HORMIGON;1609;11/12/2007;VADO DOBLE
-58.459618708850000;-34.543078260297900;CLUB CIUDAD DE BS AS (INTERNA);HORMIGON;227;07/01/2008;VADO SIMPLE
-58.458936612271200;-34.543356138950000;CLUB CIUDAD DE BS AS (INTERNA);HORMIGON;905;25/01/2008;VADO SIMPLE
-58.451904991749100;-34.549942303393700;HERNANDEZ RAFAEL;HORMIGON;1475;20/02/2008;VADO DOBLE
-58.450271839288700;-34.549928165161000;PLAZOLETA ALEJANDRO FLEMING;HORMIGON;929;20/02/2008;VADO DOBLE
-58.450639967527900;-34.550130096480100;PLAZOLETA ALEJANDRO FLEMING;HORMIGON;1006;20/02/2008;VADO DOBLE
-58.45036310468130;-34.550337866563000;PLAZOLETA ALEJANDRO FLEMING;HORMIGON;1503;20/02/2008;VADO DOBLE
-58.450002098312700;-34.5502197626559;PLAZOLETA ALEJANDRO FLEMING;HORMIGON;1365;20/02/2008;VADO DOBLE
-58.449495975950700;-34.54656699082300;QUINTEROS LIDORO J;HORMIGON;393;08/01/2009;VADO SIMPLE
-58.478912877289600;-34.562583305040400;SOCRATES;HORMIGON;674;25/01/2008;VADO SIMPLE
-58.478817015633300;-34.56252991495610;SOCRATES;HORMIGON;528;25/01/2008;VADO SIMPLE
-58.505997054598900;-34.582191005350900;OBISPO SAN ALBERTO;HORMIGON;1565;04/06/2008;VADO DOBLE
-58.495728250804500;-34.569871488787500;BORONINO;HORMIGON;533;13/06/2008;VADO SIMPLE
-58.501764557705400;-34.574943706359700;LARSEN;HORMIGON;700;18/07/2008;VADO DOBLE
-58.48181067149700;-34.571564729781800;PLAZA MARCOS SASTRE;HORMIGON;570;26/09/2008;VADO SIMPLE
-58.481049354592300;-34.571099755228300;PLAZA MARCOS SASTRE;HORMIGON;1080;26/09/2008;VADO DOBLE
-58.477175176546800;-34.55025800567350;PINTO Y GARCIA DEL RIO (PARQUE);HORMIGON;578;15/10/2008;VADO SIMPLE
-58.477278014662600;-34.550026950624400;PINTO Y GARCIA DEL RIO (PARQUE);HORMIGON;564;15/10/2008;VADO SIMPLE
-58.510562481193700;-34.585024961799600;OBISPO SAN ALBERTO;HORMIGON;367;04/06/2008;VADO SIMPLE
-58.389742152022100;-34.587137418256600;SCHIAFFINO EDUARDO;HORMIGON;384;15/12/2008;VADO SIMPLE
-58.389066662267800;-34.584784687000300;PARQUE THAYS;HORMIGON;113;18/07/2008;VADO SIMPLE
-58.388369363559400;-34.585105603551400;PARQUE THAYS;HORMIGON;158;18/07/2008;VADO SIMPLE
-58.387358686071300;-34.585632759140400;PARQUE THAYS;HORMIGON;698;18/07/2008;VADO DOBLE
-58.4216008116233;-34.58850814967390;SCALABRINI ORTIZ;HORMIGON;430;11/06/2009;VADO SIMPLE
-58.421518843386400;-34.588510780376400;GUATEMALA;HORMIGON;359;11/06/2009;VADO SIMPLE
-58.448486638404800;-34.575927829557700;LACROZE FEDERICO;HORMIGON;504;21/12/2009;VADO SIMPLE
-58.425174251960900;-34.592254873776700;HONDURAS;HORMIGON;366;08/02/2010;VADO SIMPLE
-58.380026282686600;-34.589564277767600;DEL LIBERTADOR (CICLOVIA);HORMIGON;396;08/02/2010;VADO SIMPLE
-58.380008952964900;-34.58953196017250;DEL LIBERTADOR (CICLOVIA);HORMIGON;397;08/02/2010;VADO SIMPLE
-58.379327362003100;-34.589675078008200;DEL LIBERTADOR (CICLOVIA);HORMIGON;297;08/02/2010;VADO SIMPLE
-58.379249209003900;-34.589700151366300;DEL LIBERTADOR (CICLOVIA);HORMIGON;368;08/02/2010;VADO SIMPLE
-58.379540114974700;-34.589603432383000;DEL LIBERTADOR (CICLOVIA);HORMIGON;289;08/02/2010;VADO SIMPLE
-58.379583547909900;-34.589574745657000;DEL LIBERTADOR (CICLOVIA);HORMIGON;398;08/02/2010;VADO SIMPLE
-58.403314847547300;-34.581206942872000;DEL LIBERTADOR (CICLOVIA);HORMIGON;420;04/03/2010;VADO SIMPLE
-58.404527112196700;-34.58021913483130;DIAZ CNEL (CICLOVIA);HORMIGON;414;04/03/2010;VADO SIMPLE
-58.401891834477800;-34.58173681323750;DEL LIBERTADOR (CICLOVIA);HORMIGON;329;04/03/2010;VADO SIMPLE
-58.401835858397100;-34.581750010667300;DEL LIBERTADOR (CICLOVIA);HORMIGON;332;04/03/2010;VADO SIMPLE
-58.420570992067300;-34.58196011098680;SANTA FE, AV (PLAZOLETA);HORMIGON;375;04/05/2010;VADO SIMPLE
-58.420464999806500;-34.581973355892000;SANTA FE, AV (PLAZOLETA);HORMIGON;361;04/05/2010;VADO SIMPLE
-58.416048283387200;-34.583954180723900;REPUBLICA ARABE-SIRIA;HORMIGON;1272;05/03/2010;VADO DOBLE
-58.416165194121500;-34.583894176448800;REPUBLICA ARABE-SIRIA;HORMIGON;616;05/03/2010;VADO SIMPLE
-58.416591591101700;-34.584585632984900;REPUBLICA ARABE-SIRIA;HORMIGON;1630;05/03/2010;VADO DOBLE
-58.410514252257600;-34.590915061483500;BILINGHURST;HORMIGON;399;03/06/2010;VADO SIMPLE
-58.411799991705700;-34.596788430597900;GALLO;HORMIGON;280;03/06/2010;VADO SIMPLE
-58.482151411079900;-34.56300851458620;HOMBERG;HORMIGON;2194;03/06/2010;VADO DOBLE
-58.478924524306900;-34.556435676454000;NUNIEZ;HORMIGON;1034;08/04/2010;VADO DOBLE
-58.478699677938900;-34.556498844993000;NUNIEZ;HORMIGON;822;08/04/2010;VADO DOBLE
-58.390088855643100;-34.584266138456800;FIGUEROA ALCORTA PRES (CICLOVIA);HORMIGON;419;08/04/2010;VADO SIMPLE
-58.389354216882600;-34.584599890296800;FIGUEROA ALCORTA PRES (CICLOVIA);HORMIGON;391;08/04/2010;VADO SIMPLE
-58.389148941339200;-34.584692667452800;FIGUEROA ALCORTA PRES (CICLOVIA);HORMIGON;167;08/04/2010;VADO SIMPLE
-58.390269850373900;-34.584114193131400;FIGUEROA ALCORTA PRES (CICLOVIA);HORMIGON;495;08/04/2010;VADO SIMPLE
-58.420635751774200;-34.591537569786900;COISTA RICA;HORMIGON;359;03/05/2010;VADO SIMPLE
-58.420589049200600;-34.591498915451200;ACUNIA DE FIGUEROA FRANCISCO;HORMIGON;387;03/05/2010;VADO SIMPLE
-58.4206304933479;-34.591670655205600;ACUNIA DE FIGUEROA FRANCISCO;HORMIGON;1083;03/05/2010;VADO DOBLE
-58.420443693893300;-34.591494572070200;ACUNIA DE FIGUEROA FRANCISCO;HORMIGON;892;03/05/2010;VADO DOBLE
-58.420371685519700;-34.59027277551160;ACUNIA DE FIGUEROA FRANCISCO;HORMIGON;797;03/05/2010;VADO DOBLE
-58.469950517236400;-34.546928408832200;CABILDO Y PAROISSIEN (ISLETA);HORMIGON;519;08/06/2010;VADO SIMPLE
-58.470018537362700;-34.546905157267700;PAROISSIEN Y CABILDO (ISLETA);HORMIGON;523;08/06/2010;VADO SIMPLE
-58.470005233814700;-34.546963888607200;SAN ISIDRO LABRADOR (ISLETA);HORMIGON;483;08/06/2010;VADO SIMPLE
-58.470164928145300;-34.546852535627400;SAN ISIDRO LABRADOR (PLAZOLETA);HORMIGON;536;08/06/2010;VADO SIMPLE
-58.47005402373190;-34.546866001440000;CABILDO Y PAROISSIEN (PLAZOLETA);HORMIGON;711;08/06/2010;VADO SIMPLE
-58.470077675822000;-34.54677790419720;PAROISSIEN Y CABILDO (PLAZOLETA);HORMIGON;509;08/06/2010;VADO SIMPLE
-58.470552158802500;-34.546149194055900;CABILDO  (PLAZOLETA);HORMIGON;1048;08/06/2010;VADO DOBLE
-58.470147034289300;-34.546679017919900;CABILDO (PLAZOLETA MALGARRIGA);HORMIGON;593;08/06/2010;VADO SIMPLE
-58.472518021660400;-34.559549759469700;BALBIN Y CONDE (PLAZOLETA);HORMIGON;646;08/06/2010;VADO DOBLE
-58.472738377738900;-34.559467763669900;BALBIN Y QUESADA (PLAZOLETA);HORMIGON;420;08/06/2010;VADO SIMPLE
-58.472655546105600;-34.559387016121600;QUESADA Y CONDE (PLAZOLETA);HORMIGON;432;08/06/2010;VADO SIMPLE
-58.429140243892100;-34.577203807188100;SANTA FE, AV (PLAZOLETA);HORMIGON;441;05/07/2010;VADO SIMPLE
-58.475071608524700;-34.540264521904100;SAN ISIDRO LABRADOR (PLAZOLETA);HORMIGON;481;05/07/2010;VADO SIMPLE
-58.474964111395300;-34.540225000072300;CABILDO (PLAZOLETA);HORMIGON;621;05/07/2010;VADO SIMPLE
-58.474870287473100;-34.540346431245200;CABILDO (PLAZOLETA);HORMIGON;573;05/07/2010;VADO SIMPLE
-58.474817405091200;-34.540417030564700;CABILDO (PLAZOLETA);HORMIGON;514;05/07/2010;VADO SIMPLE
-58.431724966824000;-34.576594638267000;SANTA FE, AV (PLAZOLETA);HORMIGON;361;05/07/2010;VADO SIMPLE
-58.414045542973000;-34.581600619484900;REPUBLICA ARABE-SIRIA;HORMIGON;433;05/07/2010;VADO SIMPLE
-58.414287653019400;-34.581898260235000;REPUBLICA ARABE-SIRIA;HORMIGON;456;05/07/2010;VADO SIMPLE
-58.414208528133900;-34.581609185619200;REPUBLICA ARABE-SIRIA;HORMIGON;407;05/07/2010;VADO SIMPLE
-58.429051915924400;-34.590707986692700;ARMENIA;HORMIGON;298;05/07/2010;VADO SIMPLE
-58.44629833103730;-34.562905605152300;ARRIBENIOS;HORMIGON;444;05/07/2010;VADO SIMPLE
-58.446217614597100;-34.562858599704100;ARRIBENIOS;HORMIGON;435;05/07/2010;VADO SIMPLE
-58.446097997426900;-34.562977306637600;ARRIBENIOS;HORMIGON;433;05/07/2010;VADO SIMPLE
-58.446204124426100;-34.563040392691900;ARRIBENIOS;HORMIGON;355;05/07/2010;VADO SIMPLE
-58.420522515800800;-34.575085150319000;DE MARIA;HORMIGON;369;07/07/2010;VADO SIMPLE
-58.492937402842200;-34.578264108330500;CERETI;HORMIGON;450;07/07/2010;VADO SIMPLE
-58.421176902450100;-34.57599827779120;CERVINIO;HORMIGON;562;10/09/2010;VADO SIMPLE
-58.42107689919460;-34.575880833300900;CERVINIO;HORMIGON;434;10/09/2010;VADO SIMPLE
-58.421293355470600;-34.575792367907100;CERVINIO;HORMIGON;501;10/09/2010;VADO SIMPLE
-58.422157747413200;-34.575473628569500;CERVINIO;HORMIGON;477;10/09/2010;VADO SIMPLE
-58.422520738655900;-34.575518018105800;CERVINIO;HORMIGON;434;10/09/2010;VADO SIMPLE
-58.422364875822900;-34.575421728635300;CERVINIO;HORMIGON;492;10/09/2010;VADO SIMPLE
-58.500281217706100;-34.565217807677400;CAMINO MIGUEL ANGEL;HORMIGON;370;01/10/2010;VADO SIMPLE
-58.425197365355200;-34.574534864318600;CERVINIO;HORMIGON;437;08/10/2010;VADO SIMPLE
-58.425106297509200;-34.574320217032700;CERVINIO;HORMIGON;460;08/10/2010;VADO SIMPLE
-58.423666721624900;-34.575096472969900;CERVINIO;HORMIGON;428;08/10/2010;VADO SIMPLE
-58.421434733308700;-34.57592966289160;CERVINIO;HORMIGON;547;08/10/2010;VADO SIMPLE
-58.418932770600000;-34.574756239994100;KENNEDY JOHN FITGERALD;HORMIGON;484;08/10/2010;VADO SIMPLE
-58.419418061203000;-34.575406071288600;KENNEDY JOHN FITGERALD;HORMIGON;586;08/10/2010;VADO SIMPLE
-58.41981566388680;-34.576125476040900;KENNEDY JOHN FITGERALD;HORMIGON;490;08/10/2010;VADO SIMPLE
-58.423390610561300;-34.575038273897000;CERVINIO;HORMIGON;429;08/10/2010;VADO SIMPLE
-58.423453552397100;-34.575171978014500;CERVINIO;HORMIGON;481;08/10/2010;VADO SIMPLE
-58.423579311236200;-34.574967542446000;CERVINIO;HORMIGON;490;08/10/2010;VADO SIMPLE
-58.40218869911160;-34.578713966955900;AGUADO ALEJANDRO DR;HORMIGON;450;24/11/2010;VADO SIMPLE
-58.402565958244200;-34.578390478455500;FIGUEROA ALCORTA PRES (PLAZOLETA;HORMIGON;460;24/11/2010;VADO SIMPLE
-58.460179909066300;-34.559782655293400;CUIDAD DE LA PAZ;HORMIGON;253;12/01/2011;VADO SIMPLE
-58.442454129287000;-34.573703555711200;CUIDAD DE LA PAZ;HORMIGON;594;07/01/2011;VADO SIMPLE
-58.417602048966000;-34.573373694124300;KENNEDY JOHN FITGERALD;HORMIGON;921;07/01/2011;VADO DOBLE
-58.421623085656600;-34.571713742656400;ISABEL INFANTA;HORMIGON;611;07/01/2011;VADO DOBLE
-58.417891804497700;-34.573372671563000;KENNEDY JOHN FITGERALD;HORMIGON;972;07/01/2011;VADO DOBLE
-58.404196727908400;-34.581838836333200;CERVINIO;HORMIGON;644;07/01/2011;VADO DOBLE
-58.432366582520800;-34.571460467191100;CHENAUT (BOULEVARD);HORMIGON;396;07/01/2011;VADO SIMPLE
-58.432274928080800;-34.571516295579500;CHENAUT (BOULEVARD);HORMIGON;460;;VADO SIMPLE
-58.432132710937200;-34.571360674566300;CHENAUT (BOULEVARD);HORMIGON;406;07/01/2011;VADO SIMPLE
-58.432221955338000;-34.571300856310000;CHENAUT (BOULEVARD);HORMIGON;414;07/01/2011;VADO SIMPLE
-58.424135951593900;-34.57052872812910;DEL LIBERTADOR (CICLOVIA);HORMIGON;471;10/02/2011;VADO SIMPLE
-58.426093705148500;-34.569476722130100;DEL LIBERTADOR (CICLOVIA);HORMIGON;438;10/02/2011;VADO SIMPLE
-58.426104528074000;-34.569387521232000;DEL LIBERTADOR (CICLOVIA);HORMIGON;453;10/02/2011;VADO SIMPLE
-58.414892126429700;-34.574428963481000;DEL LIBERTADOR (CICLOVIA);HORMIGON;400;10/02/2011;VADO SIMPLE
-58.414778810035600;-34.574567185346200;DEL LIBERTADOR (CICLOVIA);HORMIGON;249;10/02/2011;VADO SIMPLE
-58.414649324189400;-34.574692020129600;DEL LIBERTADOR (CICLOVIA);HORMIGON;255;10/02/2011;VADO SIMPLE
-58.41445512303740;-34.574830209820400;DEL LIBERTADOR (CICLOVIA);HORMIGON;428;10/02/2011;VADO SIMPLE
-58.41444430757740;-34.574883727980500;DEL LIBERTADOR (CICLOVIA);HORMIGON;327;10/02/2011;VADO SIMPLE
-58.431153071926500;-34.566545983002000;DEL LIBERTADOR (CICLOVIA);HORMIGON;369;10/02/2011;VADO SIMPLE
-58.431683733701300;-34.566235688403000;DEL LIBERTADOR (CICLOVIA);HORMIGON;330;10/02/2011;VADO SIMPLE
-58.431670804193100;-34.566207139775900;DEL LIBERTADOR (CICLOVIA);HORMIGON;626;10/02/2011;VADO SIMPLE
-58.436390662071000;-34.563381345259700;DEL LIBERTADOR (CICLOVIA);HORMIGON;366;04/03/2011;VADO SIMPLE
-58.436337916566700;-34.563357835133300;DEL LIBERTADOR (CICLOVIA);HORMIGON;500;04/03/2011;VADO SIMPLE
-58.436346016514500;-34.563408191342000;DEL LIBERTADOR (CICLOVIA);HORMIGON;301;04/03/2011;VADO SIMPLE
-58.436309504794600;-34.563377970778800;DEL LIBERTADOR (CICLOVIA);HORMIGON;625;04/03/2011;VADO SIMPLE
-58.436122840627800;-34.563377930284500;DEL LIBERTADOR (CICLOVIA);HORMIGON;647;04/03/2011;VADO SIMPLE
-58.43618369339640;-34.563428297976700;DEL LIBERTADOR (CICLOVIA);HORMIGON;466;04/03/2011;VADO SIMPLE
-58.436167396688500;-34.563633069234100;DEL LIBERTADOR (CICLOVIA);HORMIGON;635;04/03/2011;VADO SIMPLE
-58.43948761322800;-34.562464695046000;DEL LIBERTADOR (CICLOVIA);HORMIGON;436;04/03/2011;VADO SIMPLE
-58.436638729240700;-34.563289933337400;DEL LIBERTADOR (CICLOVIA);HORMIGON;398;04/03/2011;VADO SIMPLE
-58.44391454242900;-34.561500863531700;DEL LIBERTADOR (CICLOVIA);HORMIGON;465;04/03/2011;VADO SIMPLE
